stockid,sname,name,prov,city,revenue18,netprofit18,revenue19,netprofit19,revenue20,netprofit20,employee,listingdate,industry,producttype,mainbusiness
000001,平安银行,平安银行股份有限公司,广东,深圳市,116716000000,24818000000,137958000000,28195000000,153542000000,28928000000,40651,1991-04-03,银行,商业银行业务,经有关监管机构批准的各项商业银行业务
000002,万科A,万科企业股份有限公司,广东,深圳市,297679000000,49272000000,367894000000,55132000000,419112000000,59298000000,140565,1991-01-29,全国地产,房地产、物业管理、投资咨询,房地产开发和物业服务
000004,国华网安,深圳国华网安科技股份有限公司,广东,深圳市,367000000,-21612700,108000000,-3604000,281000000,61990300,264,1991-01-14,软件服务,移动应用安全服务、移动互联网游戏,移动应用安全服务业务
000005,ST星源,深圳世纪星源股份有限公司,广东,深圳市,486000000,157000000,553000000,178000000,399000000,-387000000,629,1990-12-10,环境保护,酒店经营、物业管理、环保业务,绿色低碳城市社区建设相关的服务业务
000006,深振业A,深圳市振业(集团)股份有限公司,广东,深圳市,2512000000,923000000,3731000000,843000000,2935000000,903000000,397,1992-04-27,区域地产,房地产,从事房地产开发与销售
000007,*ST全新,深圳市全新好股份有限公司,广东,深圳市,42443800,-196000000,42020800,22229100,45146400,-123000000,76,1992-04-13,酒店餐饮,物业管理及停车费、房屋租赁、一次性口罩、纳米胶囊、杀菌纸巾,物业管理和房屋租赁业等
000008,神州高铁,神州高铁技术股份有限公司,北京,北京市,2565000000,342000000,3220000000,457000000,1918000000,-892000000,2394,1992-05-07,运输设备,轨道交通,专业致力于提供轨道交通运营检修装备与数据、线路运营、维保服务
000009,中国宝安,中国宝安集团股份有限公司,广东,深圳市,11768000000,665000000,12004000000,712000000,10664000000,1068000000,13345,1991-06-25,电气设备,高新技术产业、生物医药、房地产,高新技术产业、生物医药产业、房地产及其他产业
000010,美丽生态,深圳美丽生态股份有限公司,广东,深圳市,345000000,-727000000,1893000000,126000000,1409000000,76354400,278,1995-10-27,建筑工程,燃气销售服务、园林建设、园林设计、苗木销售,工程施工、园林绿化及环境综合整治
000011,深物业A,深圳市物业发展(集团)股份有限公司,广东,深圳市,3377000000,698000000,3962000000,742000000,4104000000,731000000,8035,1992-03-30,区域地产,产城空间开发、物业管理服务、产业生态运营、餐饮业务、工程监理业务,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
000012,南玻A,中国南玻集团股份有限公司,广东,深圳市,10610000000,472000000,10472000000,560000000,10671000000,812000000,10558,1992-02-28,玻璃,玻璃业务、电子玻璃及显示器件业务、太阳能及其他业务,研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品，超薄电子玻璃和显示器件等新材料和信息显示产品，提供光伏电站项目开发、建设、运维一站式服务等
000014,沙河股份,沙河实业股份有限公司,广东,深圳市,358000000,155000000,438000000,32131700,347000000,9134700,153,1992-06-02,全国地产,房地产销售,从事房地产开发与经营、现代服务型产业用房运营与管理
000016,深康佳A,康佳集团股份有限公司,广东,深圳市,46127000000,669000000,55119000000,335000000,50352000000,540000000,17216,1992-03-27,家用电器,工贸业务、彩电业务、环保业务、白电业务、半导体业务,消费类电子业务、工贸业务、环保业务、半导体业务
000017,深中华A,深圳中华自行车(集团)股份有限公司,广东,深圳市,120000000,-1880500,76022700,-7813900,118000000,4375700,65,1992-03-31,文教休闲,自行车及零配件销售、锂电池材料、珠宝黄金,自行车及锂电池材料业务、珠宝黄金业务
000019,深粮控股,深圳市深粮控股股份有限公司,广东,深圳市,10759000000,321000000,11060000000,385000000,11885000000,404000000,1246,1992-10-12,其他商业,食品和饮料及茶加工、粮油贸易及加工、粮油仓储物流及服务,批发零售业务、食品加工制造业务、租赁及商务服务业务
000020,深华发A,深圳中恒华发股份有限公司,广东,深圳市,637000000,3295000,722000000,5460000,692000000,6830200,1132,1992-04-28,元器件,显示器、注塑件、EPS产品、物业租赁、废料收入、水电费及其他,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务
000021,深科技,深圳长城开发科技股份有限公司,广东,深圳市,16061000000,610000000,13224000000,442000000,14967000000,953000000,27051,1994-02-02,IT设备,存储半导体业务、自有产品、高端制造,致力于为全球客户提供技术研发、工艺设计、生产加工、采购管理、物流支持等电子产品制造服务
000023,深天地A,深圳市天地(集团)股份有限公司,广东,深圳市,1611000000,35136400,1831000000,74568600,1783000000,22361700,984,1993-04-29,水泥,房地产、工业、租赁,商品混凝土的生产和销售、房地产的开发及物业管理等
