stockid,pettm18,pettm19,pettm20,pettm21
000001,7.0,11.11,13.55,9.59
000002,8.98,8.78,8.29,5.95
000004,122.46,-64.33,55.19,72.38
000005,80.92,17.23,26.25,-14.44
000006,7.71,8.63,8.77,6.37
000007,-1136.42,-17.41,-207.42,-25.25
000008,12.62,28.9,166.38,-9.18
000009,194.65,40.48,30.12,39.33
000010,-2.37,-5.6,112.09,88.21
000011,31.82,9.99,9.01,4.89
000012,20.42,27.43,30.37,19.5
000014,366.8,14.02,37.55,-37.55
000016,1.58,24.06,-350.01,-59.13
000017,693.1,-1017.4,-643.11,4257.94
000019,-151.41,19.85,26.38,20.04
000020,2974.1,483.05,403.07,253.91
000021,17.28,45.42,56.29,27.04
000023,259.02,25.14,-324.8,-119.59
000025,130.63,77.35,39.05,73.6
000026,19.85,23.21,19.94,11.8
000027,38.46,13.51,7.0,15.07
000028,15.61,15.05,15.85,9.95
000029,27.6,19.5,25.11,29.81
000030,8.38,10.13,13.68,16.45
000031,7.06,12.6,25.09,-503.6
000032,59.23,51.16,64.31,349.76
000034,12.34,19.58,25.16,37.62
000035,27.65,35.69,13.51,20.65
000036,6.47,7.31,8.18,37.0
000037,54.24,-808.26,47.63,-43.12
000038,22.52,-2.55,25.06,-12.77
000039,9.3,20.96,33.33,4.53
000040,7.7,-27.13,-3.98,-5.59
000042,6.99,11.33,-147.25,9.81
000045,102.97,-206.76,133.72,50.67
000046,7.38,14.14,-9.54,-1.69
000048,18.28,10.94,9.7,8.36
000049,15.37,17.88,21.88,20.1
000050,32.59,44.76,36.01,19.13
000055,4.4,2.48,12.07,15.43
000056,37.92,59.87,-98.64,-15.2
000058,24.47,215512.84,133.86,-552.18
000059,5.85,10.33,-94.48,11.31
000060,15.02,18.78,20.04,13.35
000061,146.29,58.18,27.86,32.12
000062,21.44,22.54,22.91,20.19
000063,-12.71,31.57,40.77,20.58
000065,11.07,9.95,8.02,8.81
000066,30.96,49.17,64.72,34.25
000068,-542.71,-26.24,4004.04,-25.13
000069,5.52,5.22,4.88,4.94
000070,17.45,42.6,38.02,1353.58
000078,12.69,26.35,147.5,-32.6
000088,24.14,25.7,35.71,28.19
000089,21.82,34.58,328.62,145.65
000090,31.03,11.18,4.99,6.76
000096,39.07,49.99,37.17,42.89
000099,37.53,20.15,22.81,22.57
000100,10.22,16.07,47.71,7.65
000150,40.0,-168.19,-1.48,-5.36
000151,37.42,148.47,164.57,-8.41
000153,28.69,24.79,34.99,30.72
000155,34.93,9.66,49.78,198.83
000156,18.73,20.12,21.69,15.5
000157,21.09,11.82,11.7,8.67
000158,26.37,53.85,1021.81,96.01
000159,152.41,129.16,24.18,36.89
000166,22.3,22.03,17.33,14.93
000301,-128.97,16.42,71.66,73.01
000333,12.66,16.76,25.29,17.34
000338,7.5,11.86,13.96,15.75
000400,19.64,33.67,24.76,35.9
000401,20.25,9.73,8.75,9.19
000402,7.72,6.62,6.93,6.27
000403,117.52,67.2,139.76,55.36
000404,69.94,38.19,73.03,23.02
000407,46.99,23.93,26.54,18.71
000408,17.51,34.02,58.72,64.83
000409,-61.97,-9.0,-11.64,52.02
000410,6.9,-2.28,-7.07,-17.76
000411,26.9,20.8,34.33,20.02
000413,13.62,11.21,-3.93,-3.4
000415,7.38,11.63,-4.71,-3.68
000416,147.12,83.56,127.83,134.27
000417,27.29,17.73,31.41,19.86
000419,16.4,14.29,12.95,17.16
000420,29.23,49.76,-19.49,-574.86
000421,15.06,23.06,8.53,-15.47
000422,-0.74,55.27,31.98,13.2
000423,13.95,21.35,-39.83,79.2
000425,14.98,10.98,14.26,8.07
000426,12.77,-10.26,166.54,67.62
000428,52.77,-5.88,-18.69,-8.37
