country,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year
AFG,Kajaki Hydroelectric Power Plant Afghanistan,33.0,32.322,65.119,Hydro,
AFG,Kandahar DOG,10.0,31.67,65.795,Solar,
AFG,Kandahar JOL,10.0,31.623,65.792,Solar,
AFG,Mahipar Hydroelectric Power Plant Afghanistan,66.0,34.556,69.4787,Hydro,
AFG,Naghlu Dam Hydroelectric Power Plant Afghanistan,100.0,34.641,69.717,Hydro,
AFG,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55,34.4847,70.3633,Hydro,
AFG,Northwest Kabul Power Plant Afghanistan,42.0,34.5638,69.1134,Gas,
AFG,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6.0,35.9416,68.71,Hydro,
AFG,Sarobi Dam Hydroelectric Power Plant Afghanistan,22.0,34.5865,69.7757,Hydro,
ALB,Bistrica 1,27.0,39.9116,20.1047,Hydro,1965
ALB,Fierza,500.0,42.2514,20.0431,Hydro,1978
ALB,Koman,600.0,42.1033,19.8224,Hydro,1985
ALB,Lanabregas,5.0,41.3428,19.8964,Hydro,1951
ALB,Shkopet,24.0,41.6796,19.8305,Hydro,1963
ALB,Ulez,25.0,41.6796,19.8936,Hydro,1958
ALB,Vau i Dijes,250.0,42.0137,19.6359,Hydro,1971
ALB,Vlora,98.0,40.4874,19.434,Other,
DZA,Adrar,20.0,27.908,-0.317,Solar,
DZA,Ain Azel,20.0,35.88,5.475,Solar,
DZA,Ain Djasser,520.0,35.8665,6.0262,Gas,
DZA,Ain Sekhouna,20.0,34.532,0.804,Solar,
DZA,Ain el Ibel I,20.0,34.346,3.164,Solar,
DZA,Ain el Ibel II,53.0,34.342,3.169,Solar,
DZA,Ain el Melh,20.0,34.861,4.204,Solar,
DZA,Algerie Sud-Ouest,43.5,27.908,-0.317,Solar,
DZA,Annaba,71.0,36.8924,7.7634,Gas,2010
DZA,Aoulef,5.0,26.9989,1.3351,Solar,
DZA,Arbaa,560.0,36.5988,3.1375,Gas,2010
DZA,Bir Rebaa,10.0,31.285,8.565,Solar,
DZA,Boufarik 1,100.0,36.5914,2.9223,Gas,1980
DZA,Boufarik 2,450.0,36.596,2.878,Gas,2016
DZA,Boutelilis,450.0,35.5658,-0.9386,Gas,2016
DZA,Chelghoum El Aïd,15.0,36.225,6.11,Solar,
DZA,El Kheneg,60.0,33.727,2.811,Solar,
DZA,F'Krina,292.0,35.7666,7.3619,Gas,
DZA,HPC Ouargla,30.0,32.602,5.834,Solar,
DZA,Hadjret Ennous,1200.0,36.5767,2.0797,Gas,2009
DZA,Hamma 2,418.0,36.7489,3.0823,Gas,
DZA,Hassi Messaoud Mobile,72.0,31.6703,6.0531,Gas,2013
DZA,Hassi Messoud,600.0,31.6703,6.0531,Gas,2015
DZA,Hassi Messoud Nord 2,200.0,31.7877,6.0517,Gas,1988
DZA,Hassi Messoud Ouest,492.0,31.8065,5.9924,Gas,
DZA,Hassi R'mel ISCC,20.0,33.123,3.356,Solar,
DZA,Hauts Plateaux Centre,106.6,34.342,3.169,Solar,
DZA,Hauts Plateaux Est,73.8,35.68,5.9861,Solar,
DZA,Ighil Emda,24.0,36.4739,5.2719,Hydro,1952
DZA,In Salah,5.0,27.183,2.504,Solar,
DZA,Jijel,588.0,36.8139,5.876,Gas,
DZA,Kahrama IPP,345.0,35.8064,-0.2476,Gas,
DZA,Koudiet Eddraouch,1200.0,36.885,8.0778,Gas,2013
DZA,Labiodh Sidi Cheikh,20.0,32.945,0.555,Solar,
